id,text,len,date,source,likes,rt
1118975218268213248,".@shakira publicó una fotografía en la que, sonriente, está con el Premio Nobel de Literatura, García Márquez.

https://t.co/wV9A4d6lEh",135,2019-04-18 20:30:56,Twitter Web Client,4,0
1118969340030849025,"Miles se reunieron para darle el último adiós al expresidente, Alan García

https://t.co/D2YFZxWNKp",99,2019-04-18 20:07:34,Twitter Web Client,1,2
1118967489788952576,"✅@gelamarin y @v_carpin, actriz y director de @OBRASOMBRAS nos acompañan en el estudio para darnos todos los pormen… https://t.co/MNZFh7xReE",140,2019-04-18 20:00:13,SnappyTV.com,3,4
1118961540189655040,¿Cómo estará el clima hoy? Entérate en #UnoNoticias https://t.co/VwpxduHLMX,75,2019-04-18 19:36:35,SnappyTV.com,5,1
1118961119303995393,"Corrupción, nueva peste del mundo: AMLO

https://t.co/5PpWhWq6md",64,2019-04-18 19:34:54,Twitter Web Client,2,0
1118960526300733440,"En España un escuadrón de drones vigilarán desde el aire las carreteras

https://t.co/ETBTxDliJg",96,2019-04-18 19:32:33,Twitter Web Client,1,1
1118960166765060097,"El detenido fue señalado por dos afectadas como el responsable del robo de sus pertenencias

https://t.co/m2b3uJZut9",116,2019-04-18 19:31:07,Twitter Web Client,0,2
1118959949613289473,"Expertos señalan que el trabajo realizado por la Unesco en la conservación de los recintos culturales del mundo, es… https://t.co/K2n2rIQgmx",140,2019-04-18 19:30:15,Twitter Web Client,0,2
1118959279556505600,"En plena Semana Santa, vale la pena recordar cuáles son las carreteras más inseguras según datos de la Secretaría d… https://t.co/1SK7nzr0JY",140,2019-04-18 19:27:36,Twitter Web Client,4,1
1118958778223927296,"Ya hay una hipótesis sobre la causa del incendio del lunes en la catedral de Notre Dame, en París, Francia.

https://t.co/vdm1l8PsGf",132,2019-04-18 19:25:36,Twitter Web Client,0,0
1118952082331947008,"Con las modificaciones al nuevo Reglamento de Tránsito de la CDMX, los capitalinos ya no serán inmovilizados con la… https://t.co/YwvMqzXgvi",140,2019-04-18 18:59:00,TweetDeck,11,4
1118951096951635968,"Esta guía podría ayudarte a seleccionar pescados y mariscos altos en Omega 3 y bajos en mercurio, así como producto… https://t.co/hkUpR6e9cw",140,2019-04-18 18:55:05,TweetDeck,3,1
1118951075803873280,"Los indocumentados circulaban a bordo de 10 camiones, donde también fueron detenidas 15 personas que los migrantes… https://t.co/eeYRJJjAFK",139,2019-04-18 18:55:00,TweetDeck,0,0
1118949521130754050,"Se hicieron pasar por víctimas lesionadas, sin embargo, fueron identificados como dos de los responsables de balace… https://t.co/4I95qNGEBe",140,2019-04-18 18:48:49,TweetDeck,2,3
1118948201799847938,"[En la opinión de @PamCerdeira] Memorándum: la buena voluntad de cumplir la promesa de campaña

👉… https://t.co/sVZGFHQghg",122,2019-04-18 18:43:35,Twitter Ads,9,3
1118940823213576193,¡Maneja con cuidado! Estas son las autopistas que conectan a la capital del país que presentan mayor número de sali… https://t.co/iBF5yHaU0o,140,2019-04-18 18:14:15,Twitter for iPhone,4,1
1118937488116965376,¿Cada cuánto hay que aplicarse protector solar para un #Bronceado saludable? @SaluddeUNO te lo explica☀️👉… https://t.co/w2COBuU35V,130,2019-04-18 18:01:00,Twitter Ads,2,0
1118930440444874753,¿No saliste de vacaciones? Te recomiendamos estas actividades en la CDMX para que aproveches al máximo estos días😎👌… https://t.co/2CQqyVk9nk,140,2019-04-18 17:33:00,Twitter Ads,2,2
