id,text,len,date,source,likes,rt
1118894413525266438,Caso Trump: la investigación de Mueller NO pudo concluir que el presidente NO cometió obstrucción de justicia (que… https://t.co/Pk9Gd3bviF,139,2019-04-18 15:09:50,Twitter Web Client,85,13
1118889771634393091,Ayer una tarde de las tres hermanas rocha!! Tan felices y tragonas jajajaja. Delicia oaxaqueña. emiliarochamenocal… https://t.co/15sSg4FK6Q,139,2019-04-18 14:51:24,Instagram,80,4
1118873552185430016,"En el caso particular de Trump y la obstrucción de justicia en el caso de la intervención rusa, el procurador indic… https://t.co/hKAB93EOef",140,2019-04-18 13:46:57,Twitter Web Client,37,10
1118871818645983234,Los rusos que intentaron intervenir en la elección de Estados Unidos no contaron con el apoyo de miembros del equip… https://t.co/KNqavUrTvR,140,2019-04-18 13:40:03,Twitter Web Client,67,14
1118870788017401856,RT @usainbolt: Currency of life is Love no matter where in the world you at 🎼🥁 https://t.co/1audBTgsBh,102,2019-04-18 13:35:58,Twitter Web Client,0,77
1118534626518208512,La revista #Time revela a los 100 personajes más influyentes del 2019. Ahí esta @YalitzaAparicio y el texto lo escr… https://t.co/bICJVd7faR,140,2019-04-17 15:20:10,Twitter for iPhone,114,21
1118533311175983105,"Esto es poder.
La rutina de gimnasia más bella y asombrosa de esta semana!!! https://t.co/WBV2lhAF9k",100,2019-04-17 15:14:57,Twitter for iPhone,890,181
1118524405707993095,Yo en pijama casi jajaja. Pero son vacaciones 🤦‍♀️🤦‍♀️🤦‍♀️ https://t.co/yRmcGmT8w8,82,2019-04-17 14:39:34,Instagram,39,2
1118524037989322762,Aquí la paseada ayer con Yeme luego de tanta emoción de los MayaTino’s #pitbull #bassethound #dogsofinstagram… https://t.co/3RH5JmUoPq,134,2019-04-17 14:38:06,Instagram,14,2
1118522563372695552,"#fábulaperruna 
La anatomía del amor en tres imágenes. 
Ayer vino al sureño hogar la dueña original de Tino, Yeme,… https://t.co/n3Mzi3BtxB",139,2019-04-17 14:32:14,Instagram,37,7
1118516563185942528,"No he buscado a ningún directivo de medios. Ni por el ataque un día sí y otro no Uno TV, ni el golpeteo diario de R… https://t.co/IoB96l0aAr",140,2019-04-17 14:08:24,Twitter for iPhone,561,141
1118515177811513344,"Una propuesta para mejorar la salud de los capitalinos podría ser el #HoyNoRespira… 
Algún genio se le ocurrirá, cr… https://t.co/42Pv4Om77W",140,2019-04-17 14:02:54,TweetDeck,54,13
1118514031206256642,"Al irse a pasear el mundo en su Porsche, el exprocurador Cervantes cerró el caso Odebrecht en México. 
Su interino… https://t.co/HoB0OdtY6D",139,2019-04-17 13:58:20,TweetDeck,227,127
1118512127445221378,En México ni la justicia se asoma en caso Odebrecht y mucho menos la conciencia (o arrepentimiento) en el corrupto.… https://t.co/WbSd0Eaxl7,140,2019-04-17 13:50:46,TweetDeck,189,67
1118343301432848386,"Huímos al silencio...
Huímos de esa voz que se prende casi ensordecedora cuando todo queda callado y el entorno ha sido sofocado.",129,2019-04-17 02:39:55,Twitter for iPhone,180,18
1118164355282026497,"#Frontera:

La CBP (protección de fronteras EU) informó ayer que a las filas en cruces de carga y personas ahora ve… https://t.co/cZEAxr2L5R",140,2019-04-16 14:48:51,TweetDeck,26,7
1118162268347346944,Este sábado Yo Yo ma ofreció un concierto gratuito en la frontera de los dos Laredos. Recordó que la cultura no con… https://t.co/R0PaWcfBud,140,2019-04-16 14:40:33,Twitter for iPhone,110,27
1118146541410189315,Las imágenes dentro de Notre Dame luego de que se controló el fuego. Muchas de las obras rescatadas están en el Lou… https://t.co/kHIAK18pv4,140,2019-04-16 13:38:04,Twitter for iPhone,72,18
1118145037769031687,Las autoridades descartan que los de NotreDame fuera un incendio provocado. https://t.co/srK5Wcaxfv,99,2019-04-16 13:32:05,Twitter for iPhone,44,9
1118144652039864320,RT @megustaleermex: ¡Hoy arranca nuestro #MaratónDeLectura! Por cada 10 minutos que lean o escuchen en nuestra página nosotros donaremos un…,140,2019-04-16 13:30:33,Twitter for iPhone,0,90
1118144041928073216,@ninamenocal Se adoran. Parecen novios.,39,2019-04-16 13:28:08,Twitter for iPhone,0,0
1118143365726523392,"RT @brendaruiza: Porque OBVIOOOOOOO con logos nuevos de acabarán los asaltos, funcionarán las escaleras eléctricas, no habrá retrasos, no v…",140,2019-04-16 13:25:27,Twitter for iPhone,0,27
1118143124986060800,"#lamañanera
“La única dictadura que existe es la dictadura de la verdad” asegura AMLO en la mañana tras una defensa… https://t.co/kS2A5Zg3hk",140,2019-04-16 13:24:29,Twitter for iPhone,360,97
1118141539153321994,"Solo una noticia enciende este día a los medios:
‘El desastre’ ‘la lucha contra las llamas’ ‘símbolo de la cultura’ https://t.co/0vwpTGS07K",139,2019-04-16 13:18:11,Twitter for iPhone,66,10
1118139678090256386,Las tres mosqueteras como dice @julioastillero ! En gruporadiocentromx https://t.co/LI7gh3BkDp,94,2019-04-16 13:10:47,Instagram,47,9
1118138272176320512,@brendaruiza vivir sin permiso,30,2019-04-16 13:05:12,Twitter Web Client,3,0
1117957596391120896,Y sin ser religiosa cuanto se duele mi corazón y lloran mis ojos por una catedral. #NotreDameEnLlamas,101,2019-04-16 01:07:16,Twitter for iPhone,416,46
1117846507737223169,Les dije que tino copió a Maya y brincó al agua. No entiene como funciona eso y trata de brincar en ella. Se me aho… https://t.co/UDy02hAgkG,140,2019-04-15 17:45:50,Instagram,58,7
1117576448250748928,Selfie con los tres!!! Pd: vomito la cara de pescado jajaja. Sabe porque la hice pero ¡ohhhh cuánto daño hiciste Ki… https://t.co/VouKHsftp1,140,2019-04-14 23:52:43,Instagram,113,8
1117575212017573888,Tino se resiste a mis besos y selfies 🤦‍♀️🤦‍♀️🤦‍♀️😎😎😎 https://t.co/k0ESpbgWX4,77,2019-04-14 23:47:48,Instagram,63,6
1117574596050345985,Canuta!! Esa es floja hasta para dejarse retratar. Viene siempre atrás a pasito tun tun. Pero ah cómo levanta excla… https://t.co/kO6qKKLzTz,140,2019-04-14 23:45:21,Instagram,43,6
1117573575425363969,#tino. Aquí el tinito que gozó la paseada. Juega y observa. Es como mitad Maya (intrépido y correlón) y mitad Canut… https://t.co/ADRfaNZDsa,140,2019-04-14 23:41:18,Instagram,33,3
1117572080562610176,Aquí la felicidad de Maya en chapultepec. Sabrán que es perra alérgica y no la he podido llevar a los #dinamos desd… https://t.co/ieaCNLiwoe,140,2019-04-14 23:35:22,Instagram,54,7
1117433439853129728,"Dato preocupante: sin generar trabajo, riqueza o inversión no existe esa posiblidad de la igualdad. 

Cae 46% gener… https://t.co/uxuBRZ6C8c",140,2019-04-14 14:24:27,Twitter for iPhone,227,124
1117427359852965889,"Jefes de jefes. El Chapo y el Mayo, muerte, familia y traiciones. https://t.co/wUnk59ecax vía @elpais_inter",107,2019-04-14 14:00:18,Twitter Web Client,63,25
1117426711040286720,"El reto descomunal de organizar la elección más grande del mundo. Un padrón de 900 millones de votantes. 39 días, 7… https://t.co/5jbXkzsbac",140,2019-04-14 13:57:43,Twitter Web Client,106,22
