id,text,len,date,source,likes,rt
1118935203135787008,Papos #PolíticaCero https://t.co/AffRpgqBTG,43,2019-04-18 17:51:55,Twitter for iPhone,25,7
1118929413020749825,@davidpuma 😏,12,2019-04-18 17:28:55,Twitter for iPhone,0,0
1118929193125834753,@Alberto_PGT @pedroferriz3 Nuncamente!,38,2019-04-18 17:28:02,Twitter for iPhone,0,0
1118923709618642944,Los zapatitos más chavitos! #PolíticaCero https://t.co/Rg9SEbbdj5,65,2019-04-18 17:06:15,Twitter for iPhone,9,1
1118710795880108032,@palabrafilica Necesariamente en ese orden?,43,2019-04-18 03:00:13,Twitter for iPhone,17,1
1118709253995241473,"@DonChicarcas Abrazo fuerte, desde la nueva masculinidad, de manera estrictamente viril",87,2019-04-18 02:54:05,Twitter for iPhone,20,0
1118678305979293698,@jesussh16 https://t.co/jwG999hZ0i,34,2019-04-18 00:51:06,Twitter for iPhone,0,0
1118677464870313984,@jesussh16 https://t.co/I4KmQ7Ur7I,34,2019-04-18 00:47:46,Twitter for iPhone,1,0
1118665904508661765,@Lic_Robledo Felices los cuatro,31,2019-04-18 00:01:50,Twitter for iPhone,1,0
1118663015283298304,@Lic_Robledo @OficialYuri https://t.co/nxFGG6ueBS,49,2019-04-17 23:50:21,Twitter for iPhone,1,0
1118642026436710400,@chavodeltoro Ya viste mis calcetines 🧦???,42,2019-04-17 22:26:57,Twitter for iPhone,5,1
1118634953955086336,@Lic_Robledo @Changolion_ 😎😎😎,29,2019-04-17 21:58:50,Twitter for iPhone,2,0
1118624083569037312,"@JesusArellanoT Nada que traiga Maluma puede ser bueno, parece que le está ofreciendo el parachute a la gringa",110,2019-04-17 21:15:39,Twitter for iPhone,3,1
1118613974503706624,Venga #Tottenham ! #ChampionsLeague,35,2019-04-17 20:35:29,Twitter for iPhone,9,0
1118611938441752576,@palaciosruben23 @pedroferriz3 🤟🤟🤟,34,2019-04-17 20:27:23,Twitter for iPhone,1,0
1118606214839980032,@KarlTiGa @pedroferriz3 🤟🤟🤟,27,2019-04-17 20:04:38,Twitter for iPhone,1,0
1118605834617937920,@distorsiongay @pedroferriz3 🤣🤣🤣,32,2019-04-17 20:03:08,Twitter for iPhone,1,0
