id	text	len	date	source	likes	rt
1118943714376867842	Presidente de EU será chicano https://t.co/oyw0Jcuqm7	53	2019-04-18 18:25:45	Twitter for iPhone	1	1
1118900680457060352	RT @Alxcoatl: Acabamos de pasar por la caseta de la #MexicoCuernavaca y ya no había manifestantes, aun así el tráfico está cruel, incluso d…	140	2019-04-18 15:34:45	Twitter for iPhone	0	9
1118891116215066624	"RT @abel_cuba: Crucifixión 👌🏻

✏️ @alarcondibujos https://t.co/NI1wQ4H01U"	73	2019-04-18 14:56:44	Twitter for iPhone	0	29
1118884760422629376	"RT @Helioflores_mex: JESÚS EXPULSANDO A LOS MERCADERES DEL TEMPLO.
Jesús Ramírez Cuevas, Coordinador General de Comunicación Social de la P…"	140	2019-04-18 14:31:29	Twitter for iPhone	0	346
1118875261880164352	#FelizJueves. Es el día de la pasión. En todo lo que hagamos. Disfruten el descanso	83	2019-04-18 13:53:44	Twitter for iPhone	69	4
1118874856899207168	RT @Pajaropolitico: #HoyEnAnimal | El exdirector de @Pemex, Emilio Lozoya, buscó frenar que se diera a conocer el expediente por el caso #O…	140	2019-04-18 13:52:08	Twitter for iPhone	0	561
1118874566179401728	RT @LiteraturayMas_: Albert Einstein fallece el 18 de abril de 1955, fue un físico alemán de origen judío, nacionalizado después suizo, aus…	140	2019-04-18 13:50:58	Twitter for iPhone	0	110
1118724933276852225	"RT @epigmenioibarra: 5 Antonio
6 Benjamin
7 Bernardo
8 CarlosIván
NoAlOlvido
QueremosPazJusticiaVerdad
JuicioAFoxCalderonyPeña
#NoMasImpuni…"	140	2019-04-18 03:56:23	Twitter for iPhone	0	58
1118722346221699072	Ahí para la colección de quienes prefieren una boleada que la eficacia a la hora de gobernar https://t.co/nHjzda2ckt	116	2019-04-18 03:46:06	Twitter for iPhone	1780	836
1118722047058882560	Juez niega a Universidad de Hidalgo desbloquear cuentas bajo sospecha via El Universal https://t.co/qDSNA1QHuY	110	2019-04-18 03:44:55	Twitter for iPhone	67	38
1118711485390155776	RT @TIME: Read why Mexican President Andrés Manuel López Obrador is on the #TIME100 https://t.co/Xv5c5UMnjU	107	2019-04-18 03:02:57	Twitter for iPhone	0	405
1118710935663857664	Confirman asesinato de exguardia de Peña Nieto en Condado de Sayavedra via El Universal https://t.co/bySwxZmmOI	111	2019-04-18 03:00:46	Twitter for iPhone	39	57
1118710734236672001	Comisión de la Verdad acuerda grupo de búsqueda de los 43 normalistas via El Universal https://t.co/d1nVXg8tM3	110	2019-04-18 02:59:58	Twitter for iPhone	53	42
1118701424156848128	#NoTeLoPierdas. El reportaje #YoTambien, producido en @canalcatorcemx y conducido por @estelalivera sobre el germen… https://t.co/nsiUd5QI5u	140	2019-04-18 02:22:58	Twitter for iPhone	19	11
1118694881764024320	RT @canalcatorcemx: El presidente @lopezobrador_ se comprometió a reducir un 50% la inversión en publicidad y a distribuirla con equidad en…	140	2019-04-18 01:56:58	Twitter for iPhone	0	55
1118694770686275589	#NoTeLoPierdas. En memoria del compañero Virgilio Caballero, retransmitimos en @canalcatorcemx la serie “Revelacion… https://t.co/hrpjcMZrxF	140	2019-04-18 01:56:32	Twitter for iPhone	23	13
1118694242690449408	"RT @dw_espanol: #AlanGarcia: figura clave en la política peruana

Presidente en dos mandatos, responsable de la peor crisis económica de #P…"	140	2019-04-18 01:54:26	Twitter for iPhone	0	566
1118690274102980610	"RT @Notimex: VIDEO 📽 | Ataques con ácido a mujeres, la peor marca de posesión machista.

➡️ https://t.co/fRgec2KBEo

|| #Notimex https://t.…"	140	2019-04-18 01:38:40	Twitter for iPhone	0	22
1118683252582174720	#MediosPublicos. Esta mañana avanzamos con la doctora @Irma_Sandoval sobre una serie de auditorías de la @SFP_mx en… https://t.co/c8rkpQjlrV	140	2019-04-18 01:10:46	Twitter for iPhone	256	127
1118682529148612614	RT @Irma_Sandoval: Revisando los pendientes para combatir la corrupción en los medios públicos. En las @SFP_mx estamos muy contentos por la…	140	2019-04-18 01:07:53	Twitter for iPhone	0	191
1118667018431946752	RT @SPRMexico: Aquí te mostramos dos frases para recordar a Gabriel García Márquez. #5AñosSinGabo | #MediosPúblicos 📝📖👇 https://t.co/XQt1wj…	140	2019-04-18 00:06:15	Twitter for iPhone	0	8
1118627524739649536	"RT @dw_espanol: Crónica de la muerte de #AlanGarcia 

Tras darse un disparo fue llevado al hospital, donde murió horas después de una hemor…"	140	2019-04-17 21:29:19	Twitter for iPhone	0	206
1118627474286321665	El suicidio de Alan García, ex presidente del Perú, demuestra el grado de corrosión al que llegó la trasnacional de… https://t.co/caJx1oKYPb	140	2019-04-17 21:29:07	Twitter for iPhone	1104	865
1118566157848580099	RT @SPRMexico: A 5 años de su muerte recordamos a Gabriel García Márquez (#Gabo). Fue un escritor, guionista, editor y periodista colombian…	140	2019-04-17 17:25:28	Twitter for iPhone	0	25
1118566057705443330	RT @sdpnoticias: Del Gabinete de @lopezobrador_, el primero y segundo mejor evaluados son los integrantes de las Fuerzas Armadas; el tercer…	140	2019-04-17 17:25:04	Twitter for iPhone	0	17
1118526028027179009	RT @lydiacachosi: https://t.co/HRkSjAqEkQ	41	2019-04-17 14:46:00	Twitter for iPhone	0	243
1118525741111685130	RT @revistaproceso: Reportan detención del marinista Juan Sánchez, la primera ligada al caso de Lydia Cacho https://t.co/BeG9XKFqgh	131	2019-04-17 14:44:52	Twitter for iPhone	0	87
1118524622314594304	RT @canalcatorcemx: Una científica mexicana descubre una nanoparticula capaz de eliminar virus, bacterias, hongos y esporas. Este desarroll…	140	2019-04-17 14:40:25	Twitter for iPhone	0	29
1118514105948753920	Sobre el #Memorandum de la #ReformaEducativa https://t.co/M3ctzPdO36	68	2019-04-17 13:58:38	Twitter for iPhone	82	45
1118513876734234624	"RT @informador_MEX: Jesús Ramírez da a conocer los gastos de publicidad desde 2007. Así mismo menciona que ""el objetivo de la política de c…"	140	2019-04-17 13:57:43	Twitter for iPhone	0	24
1118513844211597312	RT @NoticiasMVS: #EnVivo Ningún medio de comunicación puede tener más del 25% de una campaña: coordinador General de Comunicación Social de…	140	2019-04-17 13:57:36	Twitter for iPhone	0	26
1118511101124251649	RT @canalcatorcemx: #ConferenciaPresidente  | “Al 15 de abril se han hecho 62 campañas de radio y televisión y no se ha gastado un solo pes…	140	2019-04-17 13:46:42	Twitter for iPhone	0	18
1118508123344572416	Queremos tanto a Gabo. Hoy hace cinco años, mariposas amarillas que vuelan liberadas se llevaron al autor de nuestr… https://t.co/77zCrVAnNO	140	2019-04-17 13:34:52	Twitter for iPhone	202	60
1118506212608311297	#ConferenciaAMLO. “Queremos la reconciliación con el magisterio”, afirma y revela que se han liberado a 10 maestros… https://t.co/HvEYLD0MDy	140	2019-04-17 13:27:16	Twitter for iPhone	74	51
1118505904184483841	#ConferenciaAMLO. Explica que el #Memorándum tiene un objetivo de dirección interna del gobierno. No se cancela la… https://t.co/iaTz8AzlRm	139	2019-04-17 13:26:03	Twitter for iPhone	270	164
1118504740516708353	#ConferenciaAMLO. “No vamos a sentarnos para negociar la libertad de expresión”, sentencia. Abunda sobre el papel d… https://t.co/1c54oQCLh6	140	2019-04-17 13:21:25	Twitter for iPhone	99	55
1118503597552144384	#ConferenciaAMLO. “Para nada”, nunca le voy a llamar a ningún dueño o medio de comunicación por sus críticas al gob… https://t.co/w0VYWnUqKz	140	2019-04-17 13:16:53	Twitter for iPhone	550	264
