id,text,len,date,source,likes,rt
1118838336473448448,https://t.co/GZkRJAfTea,23,2019-04-18 11:27:01,Twitter for iPhone,471,134
1118702805009731585,"RT @nytimeses: “El presidente, para dejarlo claro, no es nuestro jefe”, escribe @jorgeramosnews. “Los periodistas nos debemos a la verdad”.…",140,2019-04-18 02:28:27,Twitter for iPhone,0,2768
1118547115842531328,"RT @nytimeses: Confirman el fallecimiento de Alan García, expresidente de Perú, después de dispararse en la cabeza antes de ser detenido po…",140,2019-04-17 16:09:48,Twitter Web Client,0,326
1118531831333363713,"RT @AOC: “Even while greed and corruption slow our progress ... true power still rests with the people.“ - @ewarren

Couldn’t be more honor…",140,2019-04-17 15:09:04,Twitter for iPhone,0,12620
1118522520443944961,"RT @warkentin: En la lista de las 100 personas más influyentes del mundo, según la revista @TIME, está @lopezobrador_. Su perfil fue escrit…",140,2019-04-17 14:32:04,Twitter for iPhone,0,400
1118521672162738176,Aquí va mi texto (en inglés) en la revista TIME sobre @lopezobrador_ y su designación en la lista de los 100 más in… https://t.co/yABLRyxcol,140,2019-04-17 14:28:42,Twitter for iPhone,433,175
1118519926749372416,"RT @apchavira: En @time, @jorgeramosnews escribe por qué @lopezobrador es una de las 100 personas más influyentes [texto en inglés]. https:…",140,2019-04-17 14:21:46,Twitter for iPhone,0,9
1118518993948688385,"@lopezobrador_ en la lista de los 100 más influyentes del mundo (TIME) 

Andrés Manuel López Obrador is on @TIME's… https://t.co/9IcH5rhkJ1",139,2019-04-17 14:18:03,Twitter for iPhone,90,39
1118518630214512640,"Yalitza Aparicio es una de las personas màs influyentes del mundo, según la revista TIME 

See who is on @TIME's li… https://t.co/eiMWAd0d1M",140,2019-04-17 14:16:37,Twitter for iPhone,2367,528
1118518059457744897,"AMLO @lopezobrador_  es uno de los 100 personajes más influyentes del mundo, según acaba de anunciar la revista TIME https://t.co/LSpxscTOK3",140,2019-04-17 14:14:21,Twitter for iPhone,1101,375
1118478571054555136,Del 2015 https://t.co/zcNorCZM9k,32,2019-04-17 11:37:26,Twitter for iPhone,25316,7366
1118477705735962629,RT @AristeguiOnline: AMLO “no es intocable”: Jorge Ramos en el ‘NYT’ https://t.co/grFk3xfO2S,92,2019-04-17 11:34:00,Twitter for iPhone,0,299
1118477565012926465,RT @jorgeramosnews: Aquí mi columna para el New York Times sobre lo que pasó en la “mañanera” con @lopezobrador_ https://t.co/4XN6IGBFmx,136,2019-04-17 11:33:26,Twitter for iPhone,0,3337
1118314274043068417,Aquí mi columna para el New York Times sobre lo que pasó en la “mañanera” con @lopezobrador_ https://t.co/4XN6IGBFmx,116,2019-04-17 00:44:34,Twitter for iPhone,8771,3337
