id,text,len,date,source,likes,rt
1118984993303400448,RT @perfildehugo: VIDEO: Julio Astillero en Radio Centro. ¿Cuáles son las consecuencias de la prohibición de la marihuana? https://t.co/JUX…,140,2019-04-18 21:09:46,Twitter for iPhone,0,2
1118984941868466176,"""México ocupa el lugar 23 de los países con mayor exposición a desastres naturales"", explicó el director general de… https://t.co/5DZbOEm3w5",140,2019-04-18 21:09:34,Facebook,7,6
1118983431990366208,"Afuera del hospital de Cardel, el hombre refirió que al menos él había pagado una suma de dinero para que el transp… https://t.co/eca8ZpvifP",140,2019-04-18 21:03:34,Facebook,10,6
1118978758675812352,"VIDEO: @julioastillero en @RadioCentro977 
¿Cuáles son las consecuencias de la prohibición de la marihuana?
Análisi… https://t.co/hCZsuuJ84P",140,2019-04-18 20:45:00,Facebook,15,6
1118975687224782849,"RT @LaJornada: #Astillero, columna de @julioastillero Chayote, discrecionalidad y 4T | Aun cuando son indicadores valiosos, los medios de c…",140,2019-04-18 20:32:48,Twitter for iPhone,0,5
1118975662428045312,RT @CompaRevolucion: @julioastillero El que saquemos del clóset toda la subcultura de la mariguana es urgente y es necesario que se legisle…,140,2019-04-18 20:32:42,Twitter for iPhone,0,3
1118975523802062849,"RT @RadioCentro977: #MesaDeAnálisis

Hoy analizamos la #Legalización de la marihuana con la Dra. Catalina Pérez Correa (@cataperezcorrea),…",139,2019-04-18 20:32:09,Twitter for iPhone,0,4
1118950225131872256,"RT @CompaRevolucion: Con gusto les comparto que mi artículo ""La recolonización silenciosa del post-neoliberalismo"" publicado con @julioasti…",140,2019-04-18 18:51:37,TweetDeck,0,20
1118950097419522048,"RT @RadioCentro977: #AlAire

Elementos de la Policía Federal rescataron a 379 indocumentados y fueron detenidos 15 presuntos traficantes de…",140,2019-04-18 18:51:06,TweetDeck,0,10
1118947765818494976,"RT @AmadoBC: #Astillero
Por @julioastillero
Chayote, discrecionalidad y 4T
https://t.co/2Vng6Wy4RT",98,2019-04-18 18:41:51,TweetDeck,0,4
1118943665571766273,RT @AzulCornejo6: @julioastillero @_VicenteSerrano @NachoRgz @ElMariachiNinja Y por qué no hablan de los chayoteros? Ellos si fueron prosti…,140,2019-04-18 18:25:33,TweetDeck,0,9
1118942046406856705,"RT @RadioCentro977: #AlAire 

La periodista Claudia Solera (@SoleraClaudia), explica el cierre de los centros de asesoría del Programa Pais…",140,2019-04-18 18:19:07,TweetDeck,0,4
1118941870896242688,"Atención, @RadioCentro977 : https://t.co/0xAC6WQFKE",51,2019-04-18 18:18:25,TweetDeck,9,4
1118941226214932480,RT @leonardodimash: @julioastillero Julio es incorrecto el informe la autopista hacia Tulancingo está parada por una pipa Gasera volcada co…,140,2019-04-18 18:15:51,TweetDeck,0,5
1118937725783044096,"RT @RadioCentro977: #QueNoSeTePase  

Ya comienza Julio Astillero (@julioastillero) a través de #RadioCentro977, la #App de @RadioCentroMX…",139,2019-04-18 18:01:57,TweetDeck,0,7
1118937529195982848,"Ya por iniciar mi programa en @RadioCentro977 . Los invito a escucharlo. Hay información, análisis, comentarios y u… https://t.co/LahD2Wg3jc",140,2019-04-18 18:01:10,TweetDeck,17,7
1118937064177672192,"RT @MariaHanneman: Mañana estoy invitada al viernes de cubilete con @julioastillero @RadioCentroMX 97,7 fm a las 2 pm",117,2019-04-18 17:59:19,Twitter for iPhone,0,5
1118936485149851648,"RT @julioastillero: ¿Por qué no se avanza en la legalización de la mariguana en México? ¿Cuáles son las consecuencias médicas, judiciales y…",140,2019-04-18 17:57:01,TweetDeck,0,24
1118934290748731393,RT @CortinaDeNube: @contralinea @badillo_contra Refrescante la presencia de Miguel @badillo_contra en la mesa de debates de @julioastillero…,140,2019-04-18 17:48:18,TweetDeck,0,4
1118934221945311232,"Bien por @Rafaherrera1983 , transmitiendo para #SinCensura de @_VicenteSerrano https://t.co/JimBd1bF6u",102,2019-04-18 17:48:01,TweetDeck,127,27
1118930907027480576,¡Listo el programa de Jueves Santo en @RadioCentro977 ! Reporte vial sobre salidas carreteras; cierran atención a p… https://t.co/3plsp9xKOk,140,2019-04-18 17:34:51,TweetDeck,12,11
1118925573227786241,"RT @JucaNoticias: A qué pinché desmadre se hizo con eso del dinero de la publicidad oficial del Gobierno. 😂😂!!! 

Descripción gráfica de Tw…",140,2019-04-18 17:13:39,Twitter for iPhone,0,73
