id,text,len,date,source,likes,rt
1118985457164013568,"""Como lo he estado diciendo todo este tiempo, NO HUBO COLUSIÓN, NI OBSTRUCCIÓN"", celebró en Twitter,… https://t.co/FYPffmrlM6",125,2019-04-18 21:11:37,Twitter Web Client,2,0
1118982533863989248,"#MonerosLaJornada El tedio de la impunidad, cartón de @monerohernandez https://t.co/LphCcL1upq https://t.co/Ey1hyiSJeZ",118,2019-04-18 21:00:00,TweetDeck,19,20
1118981679488565249,Las autoridades federales que acaten a @lopezobrador_ –de dejar “sin efecto las medidas en las que se haya traducid… https://t.co/ovSRpXajhm,140,2019-04-18 20:56:36,Twitter Web Client,9,4
1118979282225782785,Investigadores descartaron solicitar arresto domiciliario en lugar de #PrisiónPreventiva alegando que Kuczynski… https://t.co/YVpxZARVn5,136,2019-04-18 20:47:05,Twitter Web Client,5,5
1118977326581190663,"De acuerdo con el informe policial homologado, había 47 paquetes confeccionados con un peso total de 429 kilos.… https://t.co/aX0OzBkhmf",136,2019-04-18 20:39:18,Twitter Web Client,8,6
1118972469111590916,Los convenios establecen acciones para combatir los delitos electorales y fortalecer la cultura de la denuncia de c… https://t.co/ifN2SAOlrH,140,2019-04-18 20:20:00,Twitter Web Client,9,5
1118968439098564610,Durante las primeras horas de este jueves se ubicaron al menos  seis nuevos puntos del #alcoholímetro en… https://t.co/wSJJeiPP2K,129,2019-04-18 20:03:59,Twitter Web Client,8,7
1118962321999704064,"Como ""perturbadoras pruebas"" calificó el demócrata Jerriold Nadler, presidente de la Comisión de Justicia de la Cám… https://t.co/k80ZYPRZ12",140,2019-04-18 19:39:41,Twitter Web Client,0,6
1118959885557698561,"#MonerosLaJornada Cena con horario 4T, cartón de Rocha https://t.co/lSOWRXFQwk https://t.co/dK2qVUcrT8",102,2019-04-18 19:30:00,TweetDeck,16,5
1118957330119495680,"Las exhalaciones estuvieron acompañadas de vapor de agua, gas y ligeras cantidades de ceniza y se registraron 103 m… https://t.co/EiYCuWdRYk",140,2019-04-18 19:19:51,Twitter Web Client,7,5
1118955191234125824,"#Astillero, columna de @julioastillero Chayote, discrecionalidad y 4T | Aun cuando son indicadores valiosos, los me… https://t.co/cq5olTSxgN",140,2019-04-18 19:11:21,TweetDeck,6,3
1118950923806629888,"En el norte, centro y oriente de la ciudad, entre las 14:00 y las 16:00 horas se prevé que la máxima sea de 31 grad… https://t.co/7aFywW5sck",140,2019-04-18 18:54:23,Twitter Web Client,2,5
1118948314551062528,Policías municipales arribaron al lugar y encontraron a ambas mujeres de nombre Concepción “N” de 26 años e Isabel… https://t.co/VxkoWDMKz4,139,2019-04-18 18:44:01,Twitter Web Client,11,14
1118945078435811328,"Y los exhortó a servirse el uno al otro como hermanos, al iniciar los solemnes rituales previos a la Pascua, que es… https://t.co/6EvlBX3gpt",140,2019-04-18 18:31:10,Twitter Web Client,5,2
1118942822823092226,"La autopista permanece cerrada a la circulación en ambos sentidos, lo que ha generado una afectación vial severa. https://t.co/MQzx69Qzje",137,2019-04-18 18:22:12,Twitter Web Client,8,17
1118937594719608832,"Además lamentó ""todo alredededor del caso Odebrecht. La corrupción es la peste del mundo"", escribió @lopezobrador_… https://t.co/gJtyW0nhNM",139,2019-04-18 18:01:26,Twitter Web Client,27,12
1118933221587267584,"#MonerosLaJornada Adán y Eva, cartón de @fisgonmonero https://t.co/IOPoQ6QD5i https://t.co/LvDj9dZahg",101,2019-04-18 17:44:03,TweetDeck,17,12
1118932053595164672,"Abrirá @Apple un laboratorio de ""recuperación de materiales"" para investigar nuevas técnicas usando robots y maquin… https://t.co/TekP1u7Cle",140,2019-04-18 17:39:24,Twitter Web Client,17,4
1118927154312617985,Sueldos de 350 a 3 mil pesos al mes tienen maestros: @SFP_mx. A algunos maestros les piden estudios concluidos de l… https://t.co/ycfgCMTROH,140,2019-04-18 17:19:56,TweetDeck,16,12
1118923223486349313,"#Dinero, columna de @galvanochoa El suicidio del ex presidente | Alan García era investigado por colusión, lavado y… https://t.co/mVSia7gDnz",140,2019-04-18 17:04:19,TweetDeck,30,27
1118920710087479296,"Los niveles máximos de ozono se presentan entre las 13:00 y las 19:00 horas, por lo que durante este periodo es imp… https://t.co/rHBgvheb0E",140,2019-04-18 16:54:20,Twitter Web Client,10,5
1118914878268375041,El intento se produjo después de que la prensa publicara informaciones de que @realDonaldTrump estaba bajo investig… https://t.co/zcd2q1ZhRc,140,2019-04-18 16:31:10,Twitter Web Client,7,6
1118909949021761536,"Luchadores profesionales bloquearon la avenida troncoso al cruce con Morelos, esto luego de que autoridades de la a… https://t.co/3LvUB2p1mf",140,2019-04-18 16:11:34,TweetDeck,15,12
1118909558372487168,Llevan 20 años sin agua potable pobladores de #PuntaMita y #Risco. Los dos pueblos de #Nayarit resisten asedio de g… https://t.co/yGHygIzaek,140,2019-04-18 16:10:01,TweetDeck,23,28
1118907041735688193,"#MonerosLaJornada Pasajes bíblicos / II, cartón de @MaguMonero https://t.co/w5CMDz3XtK https://t.co/9Sd0ykfoZz",110,2019-04-18 16:00:01,TweetDeck,12,2
1118904866791927808,.@lopezobrador_ reta a interponer amparos contra su memorando. Insta a sus críticos a acudir a los tribunales.  No… https://t.co/2MNBHphr9d,139,2019-04-18 15:51:23,TweetDeck,43,14
1118902150862655489,"""Hoy tengo un buen día"", dijo @realDonaldTrump después de que el Departamento de Justicia publicó el informe de más… https://t.co/4IykSqRMs2",140,2019-04-18 15:40:35,Twitter Web Client,10,2
1118899849045393410,"De acuerdo con los primeros reportes de Protección Civil @PCEstatalVer, en el vehículo de caja seca, viajaban 64 mi… https://t.co/g9JcIkYWLx",140,2019-04-18 15:31:26,Twitter Web Client,2,9
1118897873058451456,El festival se celebrará del 14 al 25 de mayo y su jurado estará presidido por el director de cine mexicano Alejand… https://t.co/kOWme3C5G9,140,2019-04-18 15:23:35,Twitter Web Client,20,12
1118896278753218561,Las zonas registraron máximos de 109 y 104 puntos de partículas suspendidas. Coacalco y Ecatepec son los municipios… https://t.co/HCFQi261r3,140,2019-04-18 15:17:15,Twitter Web Client,14,5
1118894960244342784,#Clima | Además se prevén fuertes precipitaciones generadas por el #FrenteFrío52 que recorrerá este jueves rápidame… https://t.co/Yco95ci2fL,140,2019-04-18 15:12:01,Twitter Web Client,7,5
1118892300367794176,#Divisas | La moneda verde se negocia en centros cambiarios del @AICM_mx en un máximo de 19.29 pesos y se adquiere… https://t.co/AeUgSq04v8,139,2019-04-18 15:01:27,Twitter Web Client,10,1
1118890303736434688,Continúa la llegada y salida de vacacionistas en el @AICM_mx. Además las autopistas México-Puebla y México-Cuernava… https://t.co/qbEqvqDMwf,140,2019-04-18 14:53:31,TweetDeck,16,11
1118885418169196544,"Grandes donadores de #NotreDame quieren más beneficios fiscales. 
Hasta ayer el monto ofrecido por empresas privada… https://t.co/EOUI93HXIZ",140,2019-04-18 14:34:06,TweetDeck,13,14
1118882985665802240,"El informe del fiscal #RobertMueller concluyó que no hubo ""cooperación"" entre la campaña de #Trump y los rusos en l… https://t.co/X1kJ76hlsn",140,2019-04-18 14:24:26,Twitter Web Client,18,8
1118880566072479745,"#LaJornadaOpina #Odebrecht y la muerte de Alan García | Unas horas antes de su suicidio, el político formuló una la… https://t.co/lx8Y426euT",140,2019-04-18 14:14:49,TweetDeck,8,6
1118877423876104193,Hoy en la #Rayuela de @LaJornada https://t.co/qOVeBqbtTi https://t.co/RiKYTlbHD2,80,2019-04-18 14:02:20,TweetDeck,26,13
1118876842625306625,"#Infografía  Los partidos de la segunda etapa de cuartos de final de la #EuroLeague incluyen Napoli-Arsenal, Benfic… https://t.co/hJzFQguFqO",140,2019-04-18 14:00:01,TweetDeck,4,4
1118875287012433922,"#VideosLaJornada Caninas consecuencias del #Brexit 

Que Reino Unido salga de la Unión Europea traerá consigo conse… https://t.co/Annp5a8k9d",140,2019-04-18 13:53:50,TweetDeck,9,2
1118873082872115200,"Se suicida el ex presidente #AlanGarcía, ligado a #Odebrecht https://t.co/mvfY2dkLm1 https://t.co/XFsGhksLtj",108,2019-04-18 13:45:05,TweetDeck,21,6
1118871300116811777,"Los delitos fueron cometidos por policías podridos y corruptos y por los demócratas y su partido"", tuiteó #Trump. ""… https://t.co/l4v2Z5xfcc",140,2019-04-18 13:38:00,Twitter Web Client,11,3
1118865296553652224,El gasto en medios ya no se usará para su control: @lopezobrador_ Habrá transparencia para que se sepa quién es qui… https://t.co/GWFRckiSmt,140,2019-04-18 13:14:08,TweetDeck,59,17
1118862331071561729,Se trata del primer encuentro entre #KimJongUn y el presidente ruso #VladimirPutin. Los dos países mantienen relaci… https://t.co/IGV311vXIC,140,2019-04-18 13:02:21,Twitter Web Client,24,18
1118861741314781186,"Hoy en #LaJornadaDeEnmedio: 
Se desata la polémica en Francia por las retribuciones fiscales que recibirán empresas… https://t.co/TmSHx3I3sY",140,2019-04-18 13:00:01,TweetDeck,19,5
1118860143179988999,".@CAPUFE de Twitter, el organismo de la @SCT_mx recomendó a los automovilistas tomar precauciones y conducir con pr… https://t.co/eYqRAju5fk",140,2019-04-18 12:53:40,Twitter Web Client,10,7
1118859221070680065,"Contraportada de hoy de @LaJornada: 
Grandes donadores de #NotreDame quieren más beneficios fiscales. Crece el fluj… https://t.co/b5PAxnWhgZ",140,2019-04-18 12:50:00,TweetDeck,21,18
1118856704022564866,#FelizJueves Hoy en la portada de @LaJornada: El gasto en medios ya no se usará para su control: @lopezobrador_. Se… https://t.co/UZOJJEnMcR,140,2019-04-18 12:40:00,TweetDeck,21,10
1118748491025649664,"Con una ganancia del 1.15%, @BMVMercados registra mejor nivel desde noviembre
https://t.co/oQOtb54R4P https://t.co/wpmTpCUg2M",125,2019-04-18 05:30:00,TweetDeck,16,10
1118744716068081664,"Investigan muerte de un hombre en una estación del #Metrobus
https://t.co/kPrmvU7YcF https://t.co/jirfHpgeYL",108,2019-04-18 05:15:00,TweetDeck,9,7
1118742199796154368,"Arrestan en EU a candidato presidencial de #Guatemala
https://t.co/15koK5BWqa https://t.co/GVGMDhgHq0",101,2019-04-18 05:05:00,TweetDeck,20,13
1118740689674805248,"Al menos 67 detenidos en una protesta en #Nicaragua
https://t.co/v0379Q4o4P https://t.co/KkgwRWuOOA",99,2019-04-18 04:59:00,TweetDeck,4,6
1118739459523137536,"El presidente del organismo, José Manuel López Campos, señaló que ese lapso de asueto contribuirá a la reactivación… https://t.co/W0q5zUaLHV",140,2019-04-18 04:54:06,Twitter Web Client,10,4
1118738467033374720,"#RogersWaters pide al Reino Unido no extraditar a Julian #Assange (VIDEO)
https://t.co/c9HTEQSYIP https://t.co/SRazabeY9d",121,2019-04-18 04:50:10,TweetDeck,62,31
1118737166174003200,"Muere el historiador y analista James Cockcroft
https://t.co/SBDShADIb5 https://t.co/YLADLaUcFN",95,2019-04-18 04:45:00,TweetDeck,4,7
1118735674717425664,.@cofecemx ha sostenido que se requiere duplicar por lo menos el número de gasolinerías que operan en el país y que… https://t.co/aQK8QcmnpZ,140,2019-04-18 04:39:04,Twitter Web Client,30,15
1118733392013668353,"Anuncia @SECTUR_mx nueva fase de la Feria Nacional de #PueblosMágicos 
 https://t.co/fgS2K8zbow https://t.co/XJtQhVd8pN",119,2019-04-18 04:30:00,TweetDeck,12,7
1118732212592099328,"La representación de @SindicatoUAM reprochó la actitud de las autoridades, a quien responsabilizó de su duración ta… https://t.co/rI6cFOaRaY",140,2019-04-18 04:25:19,Twitter Web Client,10,8
1118728537576542208,A partir del partir del 2 de mayo ciudadanos de la Unión Americana podrán interponer demandas en contra de empresas… https://t.co/QED2sZglgl,140,2019-04-18 04:10:42,Twitter Web Client,27,23
1118724332040204289,"Onda de calor dispara un 25% venta de cerveza y refresco: @ANPECmx
https://t.co/2k75IhoojH https://t.co/eaEkViIYCQ",114,2019-04-18 03:54:00,TweetDeck,14,9
1118721434669539328,RT @lajornadaonline: Bomberos de #paris dieron a conocer un video de la lucha que enfrentaron en el interior de la catedral #NotreDameEnLla…,140,2019-04-18 03:42:29,Twitter Web Client,0,113
1118720808438734848,"Hallan en #Veracruz 36 vestigios en fosas clandestinas
https://t.co/UaKq5HUrvH https://t.co/phxdTujARW",102,2019-04-18 03:40:00,TweetDeck,17,14
1118718107890212867,"Durante la asamblea, desarrollada en el puerto de Lázaro Cárdenas, #Michoacan Gómez Urrutia informó que la @STPS ot… https://t.co/wj7oUyv4T8",140,2019-04-18 03:29:16,Twitter Web Client,7,4
1118715636576849920,"'Ven y mira',  se exhibe en @CinetecaMexicoen de la Muestra, en la sala 3 15:45 y 20:45 horas. (TRAILER) https://t.co/TfxzSSaXHr",128,2019-04-18 03:19:27,Twitter Web Client,9,4
1118709847917322241,"""Sus sanciones nos dan más fuerzas"", dijo #Maduro

 https://t.co/fs6e7IwFcH",75,2019-04-18 02:56:27,Twitter Web Client,26,7
1118706250076905473,"""Los compañeros se enteraron de la situación al llegar a la empresa, cuando se toparon con un vallado y agentes de… https://t.co/f2uBGIUsW5",139,2019-04-18 02:42:09,Twitter Web Client,23,35
1118703193595305985,"will smith graba tres escenas de #BadBoys3  en #Yautepec
https://t.co/Gz5CR55ito https://t.co/XEYCUsLHK6",104,2019-04-18 02:30:00,TweetDeck,42,9
