id,text,len,date,source,likes,rt
1118986308011978752,"""Esto es terrible. Es el final de mi presidencia. Estoy jod…""
 
La frase que Trump habría soltado al enterarse de l… https://t.co/XMyQkuF9J2",140,2019-04-18 21:15:00,TweetDeck,13,6
1118982536842088450,Indignante. En Tlatelolco captaron el momento en el que joven ataca a una mujer mayor por un pleito relacionado con… https://t.co/NSKFveoqWC,140,2019-04-18 21:00:01,TweetDeck,12,6
1118978758604673024,"Delincuentes interceptaron a familia en carretera para extorsionarlos. Pasó en México. 

#VIDEO Así ocurrieron los… https://t.co/HP2Humpj47",139,2019-04-18 20:45:00,TweetDeck,18,11
1118974984611721216,"En menos de 1 minuto, mujer robó a bebé en Hospital General (VIDEO) https://t.co/zYVf0V4J0G https://t.co/NTptqw3mrk",115,2019-04-18 20:30:00,TweetDeck,16,12
1118974980572758016,RT @IvanRodz74: Por ahi ya andan los bots diciendo que no es cierto que los Servidores de la Nacion estan identificados como de @GobiernoMX…,140,2019-04-18 20:29:59,Twitter for iPhone,0,107
1118971208760848384,Preocupante dato sobre el robo de autos en Ciudad de México https://t.co/d6gfr264Oh https://t.co/kEeIXr1dc3,107,2019-04-18 20:15:00,TweetDeck,13,9
1118970154610827265,Sí. ¡Urge! https://t.co/THWcUjw7Aw,34,2019-04-18 20:10:48,Twitter for iPhone,97,17
1118967846204260353,😳 https://t.co/e2CAbJzCEH,25,2019-04-18 20:01:38,Twitter for iPhone,8,2
1118967436882137092,Buenas noticias para Cruz Azul y sus aficionados https://t.co/i5u0ukJImM https://t.co/LlqgegTpkM,96,2019-04-18 20:00:01,TweetDeck,8,0
1118967300873510912,Obviamente. https://t.co/TYGp88d6mW,35,2019-04-18 19:59:28,Twitter for iPhone,11,8
1118963659567435776,Tomen sus precauciones. Cerrarán carriles centrales de Circuito Interior por reparaciones. Aquí los detalles:… https://t.co/OWsKvxWtzd,134,2019-04-18 19:45:00,TweetDeck,6,5
1118961132121853952,"RT @nexosmexico: Gabriel García Márquez: ""Nunca olvidé la mirada sombría con que me preguntó mientras desayunábamos: ¿Por qué me conociste…",139,2019-04-18 19:34:57,Twitter for iPhone,0,45
1118959884828069888,Muere bebé en vientre de su madre por presunta negligencia médica. Pasó en México https://t.co/xV9asVsrtY https://t.co/WwPGcywcfE,129,2019-04-18 19:30:00,TweetDeck,18,7
1118959449358700546,Advierte el titular de @elconsejomx Salvador Guerrero Cipres que en Semana Santa aumenta  incidencia de robo a casa… https://t.co/HVb1ERyFlS,140,2019-04-18 19:28:16,Twitter Web Client,16,7
1118958312974966784,"RT @econoclasta: De nuevo, encapuchados EXPROPIAN la caseta y EXIGEN cooperación “voluntaria”. 
(De como en un país roban recursos públicos…",140,2019-04-18 19:23:45,Twitter for iPhone,0,359
1118957870962368512,Asesinan a mujer durante asalto en transporte público https://t.co/VXxKi1KtE2 https://t.co/9UIZrySZ4Z,101,2019-04-18 19:22:00,TweetDeck,11,3
1118956326443466752,"Asegura Salvador Guerrero Cipres, titular de @elconsejomx con @HectorHerreraAR que es fundamental la denuncia ciuda… https://t.co/NjHqU73y5J",140,2019-04-18 19:15:52,Twitter Web Client,18,8
1118956109002203137,Revelan que Facebook recopiló “de manera involuntaria” los contactos del e-mail de más de un millón de usuarios… https://t.co/X05YIDSBEb,136,2019-04-18 19:15:00,TweetDeck,7,7
