id	text	len	date	source	likes	rt
1118920471158775808	"RT @maurogranja: Pobres Dimas y Gestas. Mario Marin y Kamel Nacif Borge, son con mucho, unos monstruos del crimen.
@lydiacachosi https://t.…"	140	2019-04-18 16:53:23	Twitter for iPad	0	19
1118920179948277760	RT @el_pais: “Está muy claro que no somos los únicos seres con inteligencia. Hay cerdos que son más inteligentes que algunos perros, y aun…	139	2019-04-18 16:52:14	Twitter for iPad	0	3624
1118919667173642240	"RT @JC_Berjon: #Cannes2019
Pequeño adelanto de la selección de #CannesClassics todavía por anunciarse, con la buena noticia de la presencia…"	140	2019-04-18 16:50:11	Twitter for iPad	0	19
1118915893319221248	RT @Truthdig: The Mueller report is finally available to the public, and it's incredibly damaging to the president https://t.co/ruKlFxyf2J	138	2019-04-18 16:35:12	Twitter for iPad	0	15
1118709785346465792	RT @ajplusespanol: La periodista mexicana @lydiacachosi expuso una red de pederastia en la que estaban involucrados 19 funcionarios público…	140	2019-04-18 02:56:12	Twitter for iPad	0	704
1118709409813635072	"RT @JohanGaltung: Then SECOND: 

I suggest you only pay attention to this information if it ALSO provides answers to: 

why? 
when? 
whose?…"	140	2019-04-18 02:54:42	Twitter for iPad	0	7
1118708438714839040	RT @democracynow: Climate activists with @xr_nyc shut down traffic outside New York City Hall Wednesday, partially blocking access to the B…	140	2019-04-18 02:50:51	Twitter for iPad	0	325
1118690237411016704	@AlejandroSanz Gracias amigo querido @AlejandroSanz Un abrazo lleno de cariño.	78	2019-04-18 01:38:31	Twitter for iPad	59	2
1118675208565510146	Investigar es importante: Nassar Daw se deslinda de la defensa de Mario Marín - https://t.co/wU7EWcr8Az	103	2019-04-18 00:38:48	Twitter for iPad	90	44
1118272095341826048	https://t.co/HRkSjAqEkQ	23	2019-04-16 21:56:58	Twitter for iPad	464	243
1118254788800466944	Mexican journalist Lydia Cacho: 'I don't scare easily' https://t.co/6oabRK3sMT And still not scared but stronger than ever.	123	2019-04-16 20:48:12	Twitter for iPad	1822	659
1118254260674674688	My name is Lydia Cacho.I am a journalist &amp; Human Rights defender I will never quit until Justice is served.This is… https://t.co/wC53WAcUpf	143	2019-04-16 20:46:06	Twitter for iPad	819	374
1118250628646445056	Mi nombre es Lydia Cacho, soy periodista, defensora de los Derechos Humanos y no me voy a rendir hasta que se haga… https://t.co/XwljckgJOK	139	2019-04-16 20:31:40	Twitter for iPad	16091	9036
