id	text	len	date	source	likes	rt
1118941751325147136	RT @TruebaLara: Mañana, en @qtf platicaremos largo y tendido sobre la Semana Santa en el pasado. Ojalá nos acompañen, se me hace que va a e…	140	2019-04-18 18:17:57	Twitter for iPhone	0	5
1118938207972990976	"IMÁGENES EXCLUSIVAS DEL Féretro de Alan García, ex presidente de Perú.
#AlAireQTF 
FernandaF https://t.co/1ucMBTHlp8"	116	2019-04-18 18:03:52	Twitter for iPhone	3	1
1118937808171933697	"Cobertura exclusiva #AlAireQTF
Imágenes del féretro de Alan García.
La Guardia del ex presidente Alan, es el Señor… https://t.co/51t6NPFZQ0"	139	2019-04-18 18:02:16	Twitter for iPhone	2	1
1118932851985145858	"Qué buena propuesta de #PenguinRandomHouse 
@megustaleer 
APOYEMOS ESTA NOBLE CAUSA.
FernandaF https://t.co/C36RwMIiez"	118	2019-04-18 17:42:35	Twitter for iPhone	15	10
1118932732334223361	"#Perú
Filas para ver el féretro de Alan García.
Óscar Valdés comería con García el día que se suicidó. 
Aquí el… https://t.co/DIhSv8EKAS"	136	2019-04-18 17:42:06	Twitter for iPhone	7	2
1118898254350114816	"AMLO, Guaidó, Ardern y Bolsonaro entre los lideres más influyentes según la revista TIME @TIME 
FernandaF https://t.co/pPUNV97V53"	129	2019-04-18 15:25:06	Twitter for iPhone	13	3
1118740174979072000	Fernando Delgadillo contesta al movimiento #MeToo con un COMUNICADO 👇 https://t.co/ZdX6HzJ86u	93	2019-04-18 04:56:57	Twitter for iPhone	112	30
1118718026499620864	Encuentran muerto a Sergio Armando Hernández Vega, secretario particular del ex jefe del Estado Mayor Presidencial… https://t.co/RyF5OwzkCt	139	2019-04-18 03:28:56	Twitter for iPhone	152	126
1118709619654836224	Y cómo gozaba cantarla contigo Tania @tanialibertad01 https://t.co/VvP5TNa1I2	77	2019-04-18 02:55:32	Twitter for iPhone	25	5
1118633686159720449	Javier López “Chabelo”, tuvo que ser sometido a una cirugía de emergencia https://t.co/TeYpPn6Df1	97	2019-04-17 21:53:48	TweetDeck	38	11
1118627088540536833	".@jorgeramosnews a @lopezobrador_ ""(...) tarde o temprano se dará cuenta de que solo una persona no puede salvar a… https://t.co/Hy91YtJvkE"	139	2019-04-17 21:27:35	TweetDeck	142	44
1118623001493348352	Ya se puede consultar cuánto ganan los servidores públicos en México https://t.co/yfHszzOLEn	92	2019-04-17 21:11:21	TweetDeck	20	10
1118616884956618753	Así llegó Will Smith a Morelos y se robó las miradas [VIDEOS] https://t.co/sqKkrr2dJV	85	2019-04-17 20:47:02	TweetDeck	21	7
1118576632095178752	¡ATENCIÓN! Desde las 1800 horas, todos los coches podrán circular en el Valle de México  https://t.co/gSYOUc4UFU	112	2019-04-17 18:07:05	TweetDeck	7	3
1118574028107677696	Alan García, expresidente de Perú se suicida por caso #Odebrecht. Conoce todos los detalles https://t.co/QWtIBhpj3V	115	2019-04-17 17:56:45	TweetDeck	10	4
1118571025220997121	#WhatsApp le dice 'adiós' a las capturas de pantalla de tus chats https://t.co/bBMoCjmS87	89	2019-04-17 17:44:49	TweetDeck	4	0
1118569010671570945	Ordenan captura del ex gobernador de Puebla, Mario Marin y del empresario de textiles, Kamel Nacif por el agravio a… https://t.co/xqfizfHN9g	140	2019-04-17 17:36:48	Twitter for iPhone	103	9
1118562870554517504	"ASÍ DI LA NOTICIA de la muerte de Gabriel García Márquez ... 
17 de abril 2014. 
Era un Jueves Santo. 
FernandaF https://t.co/KxY23gdHnc"	136	2019-04-17 17:12:24	Twitter for iPhone	19	4
1118558430808170496	Hermano de Javier Duarte se ampara para no ser detenido https://t.co/lHgJWYDF0G	79	2019-04-17 16:54:46	TweetDeck	6	3
1118557711686406144	"Excelente explicación sobre el incendio de la catedral de Notre Dame.
¡Vean hilo completo!
FernandaF https://t.co/HaVlx7QVoh"	124	2019-04-17 16:51:54	Twitter for iPhone	84	37
1118557428520452096	"Murió Alan García ... se dió un tiro al ser detenido por el caso Odebrecht.
FernandaF https://t.co/9t4f9pl6kZ"	109	2019-04-17 16:50:47	Twitter for iPhone	8	1
1118556104982781953	@YalitzaAparicio entre los 100 líderes más influyentes de la revista @TIME. La destacan como una mujer que desafía… https://t.co/qlDdOSeRNE	139	2019-04-17 16:45:31	TweetDeck	2	1
1118556045570392065	@CSaizar Mariposas Amarilla siempre entre nosotros. Te abrazo.	62	2019-04-17 16:45:17	Twitter for iPhone	3	1
1118554037841010688	Los mexicanos dentro de la lista de las 100 personas más influyentes de Time https://t.co/FDMskKCdP4	100	2019-04-17 16:37:19	TweetDeck	10	0
1118548341820985344	"17 de abril 2014
Gabriel García Márquez 
Un día donde todas las mariposas amarillas se fueron al cielo... un día qu… https://t.co/zwEnpGOV43"	140	2019-04-17 16:14:40	Twitter for iPhone	339	27
1118547086822268931	"IMAGEN 3D 
Desliza tu dedo sobre la foto para moverla. 
Notre Dame un día después del incendio.
https://t.co/A6vOA9VHxd 
#NotreDame"	131	2019-04-17 16:09:41	Twitter for iPhone	9	4
1118545973326884866	RT @Imagen_Mx: 🎙🇫️🇫️ ¡Qué tal Fernanda! Escucha a @qtf #ALAIRE por Imagen Radio y en línea: https://t.co/KHEYfaXFDJ #MásGrandeQueNunca http…	140	2019-04-17 16:05:16	TweetDeck	0	1
1118541607173853186	Se suicida el expresidente peruano Alan García https://t.co/yQcBcEJUcn	70	2019-04-17 15:47:55	TweetDeck	15	7
1118540702923857926	#ÚLTIMAHORA | El expresidente peruano Alan García muere tras pegarse un tiro cuando iba a ser detenido al ser inves… https://t.co/dt5oRaOhlC	140	2019-04-17 15:44:19	TweetDeck	19	5
1118539654238748672	Agarraba nalgas en el metro de la CDMX; sujeto fue detenido https://t.co/IF4cDtrGLI	83	2019-04-17 15:40:09	TweetDeck	16	3
1118534796450332673	Revelan el sueldo que recibe Yalitza Aparicio por ser maestra https://t.co/J8kbACTq0C	85	2019-04-17 15:20:51	TweetDeck	9	0
1118531402134429697	#ÚLTIMOMINUTO | El expresidente peruano Alan García se mantiene con vida aunque su estado es delicado, según inform… https://t.co/BbBt0oHr8C	140	2019-04-17 15:07:22	TweetDeck	9	1
1118528607238930434	Expresidente de Perú, Alan García se dispara cuando iba a ser detenido https://t.co/Xxn3EHN1wS	94	2019-04-17 14:56:15	TweetDeck	8	4
1118378931512651776	“Acabo de leer el Memorándum recién emitido por el Presidente. Carece de fundamentación y motivación. No se cita un… https://t.co/hfSJ5VFRoi	140	2019-04-17 05:01:30	Twitter for iPhone	594	204
1118351412583378945	"Renuncia a su cargo Guillermo Zúñiga, Comisionado de la Comisión Reguladora de Energía.
FernandaF https://t.co/F2wKBJsmKM"	121	2019-04-17 03:12:09	Twitter for iPhone	60	15
1118327899336204288	"INAH: Techo del Museo Nacional de Antropología, en riesgo de colapsar.
“El recinto museístico emblemático de México… https://t.co/teOPAEUWRK"	140	2019-04-17 01:38:43	Twitter for iPhone	189	97
1118288844330274816	Captan momento exacto en el que cayó una pantalla gigante en Nuevo León https://t.co/8iSaVaGGc6	95	2019-04-16 23:03:31	TweetDeck	9	4
1118287712820301824	#LoMásLeído Así celebró ISIS el incendio de la catedral de Notre Dame https://t.co/WsHp77qhdF	93	2019-04-16 22:59:02	TweetDeck	4	3
1118271455492546563	Afectadas mil 900 hectáreas por incendio en Bosque La Primavera https://t.co/JChenXmQjo	87	2019-04-16 21:54:26	TweetDeck	20	15
1118254319361581057	AMLO firma memorándum sobre la cancelación de la #ReformaEducativa https://t.co/E4Yqh4BN1u	90	2019-04-16 20:46:20	TweetDeck	13	5
1118241943161536514	Gordofobia, un odio disfrazado de 'me preocupa tu salud' - ¡Qué tal Fernanda! https://t.co/JLyuZfoCjs	101	2019-04-16 19:57:09	Twitter Web Client	14	3
1118208909486034944	Estas son las playas más contaminadas de México ¡AGUAS! https://t.co/xukmESe5HV	79	2019-04-16 17:45:53	TweetDeck	15	5
1118208076488876032	El beso de Cristiano Ronaldo y Leo Messi en la portada de France Football https://t.co/l5ISohc83x	97	2019-04-16 17:42:35	TweetDeck	4	2
1118207193415868418	"Ahora resulta que un memorándum cancela la Constitución Mexicana. 👇
#AMLOmemo https://t.co/aHbYJ9AGNh"	101	2019-04-16 17:39:04	Twitter for iPhone	620	303
1118200022175236096	¡DE HORROR! Así celebró ISIS el incendio de la catedral de #NotreDame https://t.co/WsHp77qhdF	93	2019-04-16 17:10:35	TweetDeck	8	4
1118188322332057600	Las primeras imágenes del interior la catedral de #NotreDame tras el devastador incendio https://t.co/TMtRCUNX1K	112	2019-04-16 16:24:05	TweetDeck	8	2
1118186428733825025	Revelan el primer video del interior de la catedral de Notre Dame tras incendio https://t.co/TMtRCUNX1K	103	2019-04-16 16:16:34	TweetDeck	15	2
1118182403602882565	RT @Imagen_Mx: 🎙🇫️🇫️ Acompaña a la periodista de vida @qtf #ALAIRE por Imagen Radio y en línea: https://t.co/KHEYfaXFDJ #MásGrandeQueNunca…	139	2019-04-16 16:00:34	TweetDeck	0	2
1118180524223279105	¿Jueves y Viernes Santo son feriados? ¡Checa los detalles! https://t.co/fHE8A7pqt6	82	2019-04-16 15:53:06	TweetDeck	12	1
1118174546270486528	Descubre cuánto ganan los funcionarios públicos en México https://t.co/yfHszzOLEn	81	2019-04-16 15:29:21	TweetDeck	10	9
1118170521898815488	.@lopezobrador_ dice que creará instituto “Robin Hood” para devolver lo robado a los mexicanos https://t.co/BXXLhR3RV5	118	2019-04-16 15:13:21	TweetDeck	201	67
1118167894020579328	Donaciones para Notre Dame superan los 600 millones de euros; el esposo de Salma Hayek donará 100 millones de euros https://t.co/khBrkYewmw	139	2019-04-16 15:02:55	TweetDeck	52	9
1117948180929437696	"PRIMERAS IMÁGENES #CatedralDeNotreDame 
Dentro #NotreDame
Una pequeña parte de la bóveda se derrumbó. El interior p… https://t.co/wLxp4H5Q9q"	140	2019-04-16 00:29:51	Twitter for iPhone	68	17
1117936360927760386	Gracias #LordPinault 🙏 https://t.co/wF4IIpV5cH	46	2019-04-15 23:42:53	Twitter for iPhone	102	12
1117936153016045570	RT @drjoseoscarv: Ganaremos esta lucha, se hará más larga, pero el tiempo nos dará la razón, la @SCJN debe ser el fiel de la balanza. Amigo…	140	2019-04-15 23:42:03	Twitter for iPhone	0	17
1117924096640262144	"AMLO CONTRA LA LIBERTAD DE EXPRESIÓN... 
Reporteros de la mañanera:
No permitan que su profesionalismo termine en m… https://t.co/U45KYXdOp6"	140	2019-04-15 22:54:09	Twitter Web Client	436	182
1117923786483994630	¡CATASTRÓFICO! El fuego destruye #NotreDame en el corazón de #París [VIDEO - IMÁGENES] https://t.co/UkUN7XBCAy	110	2019-04-15 22:52:55	TweetDeck	11	2
1117921414319955968	¡ALERTA! Hacker logra acceso a correos de cuentas de Outlook https://t.co/GN3NxEO0rn	84	2019-04-15 22:43:29	TweetDeck	9	4
1117914221683941376	"#NotreDame 
Buenas noticias: todas las obras se han salvado. El tesoro de la catedral está intacto, la corona de es… https://t.co/8fcfxXmuSw"	140	2019-04-15 22:14:54	Twitter for iPhone	569	132
1117911932709638144	Mira EN VIVO la transmisión del incendio en #NotreDame https://t.co/uTy75cpkkQ	78	2019-04-15 22:05:49	TweetDeck	4	2
1117909358921179136	¡AGUAS! Las playas más sucias de México para ir de vacaciones https://t.co/xukmESvGzt	85	2019-04-15 21:55:35	TweetDeck	7	0
1117902960883712000	"La estructura de la catedral de #NotreDame ""está a salvo"", dicen Bomberos de París https://t.co/uTy75cpkkQ"	106	2019-04-15 21:30:10	TweetDeck	27	8
1117899812391677953	#ÚLTIMAHORA | Las dos torres de #NotreDame están a salvo https://t.co/uTy75cpkkQ	80	2019-04-15 21:17:39	TweetDeck	15	3
1117899597639077888	"""Es triste ver cómo se está quemando una parte de todos los franceses"": Emmanuel Macron tras voraz incendio de la c… https://t.co/X8WaDUfxlE"	140	2019-04-15 21:16:48	TweetDeck	29	5
1117891176512675840	RT @qtf: La foto del novio de Ricky Martin vestido de mujer que ha desatado fuertes críticas https://t.co/0j2742UXPZ	116	2019-04-15 20:43:20	TweetDeck	0	3
1117890272401117184	"Gobierno de México pone a disposición su apoyo y conocimientos para la reconstrucción de la catedral de #NotreDame 
https://t.co/V2H9Le347U"	139	2019-04-15 20:39:44	TweetDeck	17	7
1117883283046428673	Impactantes imágenes de la emergencia en París por incendio en la histórica Catedral de #NotreDame https://t.co/uTy75cpkkQ	122	2019-04-15 20:11:58	TweetDeck	10	6
1117881226629648390	"""No es seguro"" que se pueda salvar la catedral de #NotreDame de París, dice el ministro del Interior francés https://t.co/T3SWSu9ACi"	132	2019-04-15 20:03:48	TweetDeck	14	10
1117880655629574144	Francia abre investigación sobre el incendio de #NotreDame https://t.co/T3SWStRZdI	82	2019-04-15 20:01:32	TweetDeck	10	3
1117870581389463553	@vampipe CANTO AL PIE De TÚ VENTANA ... Ah no , esa no es ... En el día del feliz pájaro, te abrazo sostenido ¡y alégale! 🎂	123	2019-04-15 19:21:30	Twitter for iPhone	5	0
1117869874393550848	RT @CSaizar: El devastador incendio en #NotreDamedeParis -obra cumbre del gótico- es una de las grandes tragedias civilizatorias que le ha…	139	2019-04-15 19:18:41	Twitter for iPhone	0	323
1117869737420173312	"#NotreDameWillBeGoneOneDay
FernandaF https://t.co/QDyGK5wcud"	60	2019-04-15 19:18:09	Twitter for iPhone	8	2
1117852020780650497	EN VIVO | Así está #NotreDame tras la caída de la aguja https://t.co/uTy75cpkkQ	79	2019-04-15 18:07:45	TweetDeck	15	8
1117850376416288776	#ÚLTIMAHORA Se derrumba la aguja central de la catedral de #NotreDame https://t.co/uTy75cpkkQ	93	2019-04-15 18:01:13	TweetDeck	16	8
1117849003075330050	El fuego está consumiendo el techo de la catedral de Notre Dame en París. Mira más imágenes aquí https://t.co/uTy75cpkkQ	120	2019-04-15 17:55:45	TweetDeck	12	3
1117846333401063426	TRANSMISIÓN EN VIVO del incendio de la emblemática Catedral de Notre Dame de París https://t.co/uTy75cGVJq	106	2019-04-15 17:45:09	TweetDeck	20	4
1117845602807754752	¡Tremenda pérdida histórica y cultural para la humanidad! Se incendia la catedral de Notre Dame de París [VIDEOS] https://t.co/uTy75cGVJq	137	2019-04-15 17:42:14	TweetDeck	71	19
1117842717269266434	López Obrador advierte a reporteros: “Si ustedes se pasan, ya saben lo que sucede, ¿no?” [VIDEO]  https://t.co/9F37MIfOTW	121	2019-04-15 17:30:46	TweetDeck	265	161
1117838604678701056	Cuídate de los piojos en esta temporada de calor https://t.co/XXMftsXVQv	72	2019-04-15 17:14:26	TweetDeck	6	0
1117831373555994629	La trágica muerte de un piloto de motocross en plena competencia 🏍 [VIDEO] https://t.co/DPhDwpAPbJ	98	2019-04-15 16:45:42	TweetDeck	10	3
1117830370949586945	"AMLO CONTRA LA LIBERTAD DE EXPRESIÓN... 
Reporteros de la mañanera:
No permitan que su profesionalismo termine en m… https://t.co/9nLtnKWDpw"	140	2019-04-15 16:41:43	Twitter for iPhone	1380	725
1117830326481502208	#LoMásLeído ¡OJO! Facebook e Instagram dejarán de funcionar en estos celulares https://t.co/g5Tpy91ZLt	102	2019-04-15 16:41:32	TweetDeck	4	0
1117829172750180353	Revelan que Steve Jobs habría sido diagnosticado con VIH; filtran resultados médicos https://t.co/lWTu0tMWev	108	2019-04-15 16:36:57	TweetDeck	12	5
1117826865186725889	#LoMásVisto Desde este miércoles 17 entra en vigor la Ley Seca en Iztapalapa https://t.co/S0suaQhxgJ	100	2019-04-15 16:27:47	TweetDeck	9	1
1117825976296267776	Sonarán los nombres de Eva Verónica de Gyves y Santiago Nieto Castillo, para ocupar el puesto de Alejandro Gertz Ma… https://t.co/Gs278N6LZT	140	2019-04-15 16:24:15	Twitter for iPhone	43	21
1117823055399653376	¡IMPRESIONANTE! Científicos imprimen el primer corazón 3D del mundo [FOTOS] https://t.co/WprhILSjmW	99	2019-04-15 16:12:39	TweetDeck	18	5
1117820089359839233	RT @Imagen_Mx: 🎙🇫️🇫️ #ALAIRE @qtf ¿Nos acompañas? Puedes escucharnos en línea aquí: https://t.co/KHEYfaXFDJ #MásGrandeQueNunca https://t.co…	140	2019-04-15 16:00:52	TweetDeck	0	3
1117816345096114176	Checa la lista de las marcas que más caro venden los combustibles; Shell encabeza el registro https://t.co/N1Htqe7Q0O	117	2019-04-15 15:45:59	TweetDeck	7	7
1117811460833521665	La foto del novio de Ricky Martin vestido de mujer que ha desatado fuertes críticas https://t.co/0j2742UXPZ	107	2019-04-15 15:26:34	TweetDeck	6	3
1117807148510138368	"La Santa Sede muestra por primera vez en 300 años la ""Escalera Santa"", donde Cristo subió para ser juzgado por Ponc… https://t.co/9xsnviWRof"	140	2019-04-15 15:09:26	TweetDeck	57	13
1117806375000780801	Así capturaron a un puma en la cochera de un domicilio en San Luis Potosí [VIDEO] https://t.co/JRC61RP4ME	105	2019-04-15 15:06:22	TweetDeck	17	7
1117800489180172288	".@GaleriaOR presenta la muestra ""El Viaje"" | Por @OscarRomanArte https://t.co/6GKb1IjbyZ"	88	2019-04-15 14:42:59	TweetDeck	10	6
1117796150814367744	Daniela Edburg en la Galería Enrique Guerrero | Por Ricardo Torres-Inzunza https://t.co/W2FzXoSehq	98	2019-04-15 14:25:44	TweetDeck	6	1
1117782492470218757	"TUITAZO DE LUIS PAZOS @luispazos1 
FernandaF https://t.co/eoLKFMiHaE"	68	2019-04-15 13:31:28	Twitter for iPhone	429	139
1117509109761433600	"RT @goliveros: Existen bots y granjas. 

Pero han existido desde el inicio de esta red social y SIEMPRE se han usado con fines políticos.…"	138	2019-04-14 19:25:08	Twitter for iPhone	0	17
1117476516265439233	La mejor explicación sobre el algoritmo de Katherine Bouman, (que hizo posible reconstruír la imagen del agujero ne… https://t.co/sFiTkpoF1J	140	2019-04-14 17:15:37	Twitter for iPhone	36	11
1117475262277521409	RT @CSaizar: Javier Marías argumenta mejor que ⁦@perezreverte⁩ pero sorprende, asombra, indigna que ambos integrantes de la ⁦@RAEinforma⁩ r…	140	2019-04-14 17:10:38	Twitter for iPhone	0	67
1117475045767561216	ABUCHEAN a Cuitláhuac García Jiménez, gobernador de Veracruz por Morena ... no tarda AMLO en traerlo a la CDMX de S… https://t.co/fA5raZyMf5	140	2019-04-14 17:09:47	Twitter for iPhone	749	352
1117466508098252800	"Querido Jorge Ramos  @jorgeramosnews de @qtf
¿Mamarracho? Espejito, espejito.. veo un adefesio, esperpento, grotesc… https://t.co/56sQOlU3R2"	140	2019-04-14 16:35:51	Twitter for iPhone	286	78
