id,text,len,date,source,likes,rt
1118985070755352592,Cae en EU candidato presidencial de #Guatemala acusado de coludirse con el Cártel de Sinaloa https://t.co/zXu2MAt5z7,116,2019-04-18 21:10:05,Hootsuite Inc.,7,5
1118984848138473474,López Obrador toma el suicidio de Alan García para criticar corrupción y neoliberalismo https://t.co/S9hzC3A1QO,111,2019-04-18 21:09:12,Hootsuite Inc.,29,9
1118980036177072129,Conade ignora fallo judicial y se desliga del Campeonato Nacional de Esgrima https://t.co/l1VNQoC5r2 https://t.co/rFMvtfj7ZZ,124,2019-04-18 20:50:04,Hootsuite Inc.,5,5
1118977526183923715,El Kremlin confirma reunión de Putin con Jong-un en Rusia https://t.co/SgBZX25TWA,81,2019-04-18 20:40:06,Hootsuite Inc.,24,8
1118970505040662534,Difunden #video del robo de la bebé en la estación Hospital General… y la PGJ se pone a trabajar https://t.co/QVIC4r4ZCR,120,2019-04-18 20:12:12,Hootsuite Inc.,46,45
1118965251662340104,"Los bares rafagueados en #Irapuato son el ""Bigotes"" y ""Unicornio"" https://t.co/dArIDbdEnw",89,2019-04-18 19:51:20,Hootsuite Inc.,9,7
1118964931171430407,Seis meses del éxodo migratorio y la crisis se agudiza en la frontera Sur https://t.co/sWc607CdOA,97,2019-04-18 19:50:03,Hootsuite Inc.,27,30
1118960149102833664,Ninguno de los 79 incendios activos en #México representa un riesgo para la población: @CNPC_MX https://t.co/cU0NI1h9Z0,119,2019-04-18 19:31:03,Hootsuite Inc.,8,6
1118947324452061184,Niveles de ozono no ceden; la @CAMegalopolis mantiene Fase 1 de Contingencia https://t.co/dbldK1SRX3,100,2019-04-18 18:40:05,Hootsuite Inc.,18,16
1118942300258873346,"“Game over”, la mofa de @realDonaldTrump  hacia los demócratas tras fallo por el Rusiagate  https://t.co/Ao4uKuU7ol",115,2019-04-18 18:20:07,Hootsuite Inc.,8,5
1118934743976902656,Informe de Mueller no acusa ni exonera a @realDonaldTrump de obstrucción de justicia  https://t.co/jMttSMj1CH,109,2019-04-18 17:50:06,Hootsuite Inc.,24,18
1118930391451172865,Nuevo Estado Menor Presidencial / el cartón semanal de @monerohernandez y @ahelguera https://t.co/6dToxFNLri,108,2019-04-18 17:32:48,Hootsuite Inc.,82,60
1118924686124093445,En dos semanas el fallo de la IAFF sobre caso de dopaje de Lupita González https://t.co/emrG11EjoF,98,2019-04-18 17:10:08,Hootsuite Inc.,9,3
1118922206799704064,Gobierno de Francia lanza concurso para reconstruir Notre Dame https://t.co/crJEWq1rIY,86,2019-04-18 17:00:17,Hootsuite Inc.,15,4
